brand,outbound_tweets,valid_reply_pairs,pair_coverage_pct,avg_customer_words,avg_brand_words,pct_short_replies
AmazonHelp,169840,168814,99.4,19.3,19.8,5.3
AppleSupport,106860,106646,99.8,18.8,22.7,0.2
Uber_Support,56270,56160,99.8,21.1,19.2,0.0
SpotifyCares,43265,43092,99.6,17.9,22.1,0.1
Delta,42253,42114,99.7,19.7,17.9,3.5
Tesco,38573,38468,99.7,20.3,25.9,0.2
AmericanAir,36764,36531,99.4,20.6,18.4,0.8
TMobileHelp,34317,34215,99.7,19.5,21.5,0.2
comcastcares,33031,32921,99.7,18.8,24.0,0.2
British_Airways,29361,29290,99.8,21.9,21.7,0.2
SouthwestAir,28977,28828,99.5,18.9,20.4,1.0
VirginTrains,27817,27416,98.6,19.3,15.0,2.5
Ask_Spectrum,25860,25617,99.1,17.9,23.8,0.3
XboxSupport,24557,23235,94.6,19.3,20.0,0.2
sprintcare,22381,22209,99.2,18.1,21.2,0.3
hulu_support,21872,21681,99.1,19.3,22.0,0.0
sainsburys,19466,19399,99.7,18.7,20.9,0.4
GWRHelp,19364,19237,99.3,20.1,19.5,0.2
AskPlayStation,19098,18675,97.8,18.9,16.0,1.6
ChipotleTweets,18749,18599,99.2,15.6,12.3,9.4
VerizonSupport,17966,17805,99.1,17.4,15.9,1.3
UPSHelp,17817,17762,99.7,22.7,23.8,0.1
ATVIAssist,17650,17514,99.2,18.5,18.7,0.1
O2,16212,16069,99.1,21.6,20.0,1.6
Safaricom_Care,16077,15441,96.0,14.3,13.3,8.7
idea_cares,15724,15591,99.2,19.6,21.8,0.1
AskTarget,13218,13210,99.9,21.5,29.3,0.0
AirAsiaSupport,12829,12694,98.9,18.5,18.4,0.5
BofA_Help,12683,12634,99.6,19.4,18.1,1.0
SW_Help,12231,11729,95.9,20.1,20.0,1.1
ArgosHelpers,12174,12030,98.8,20.2,20.2,3.2
AskLyft,11809,11782,99.8,20.3,21.3,1.1
marksandspencer,11504,11425,99.3,19.8,20.2,1.9
AskAmex,11358,11090,97.6,17.9,16.7,1.4
MicrosoftHelps,11304,11215,99.2,20.5,22.4,0.0
AskPayPal,11298,11239,99.5,19.0,23.3,0.5
Morrisons,10126,9980,98.6,20.0,18.7,0.7
AdobeCare,9917,9858,99.4,20.8,21.9,0.2
airtel_care,9881,9402,95.2,17.0,17.9,1.4
AskeBay,9686,9612,99.2,22.0,25.4,0.2
AirbnbHelp,8875,8820,99.4,22.0,26.0,0.3
ChaseSupport,8811,8707,98.8,19.5,23.4,0.5
McDonalds,8478,8427,99.4,10.8,15.1,0.2
AldiUK,8114,7846,96.7,19.1,19.6,5.9
JetBlue,8020,7956,99.2,19.8,17.0,8.7
CoxHelp,7861,7813,99.4,18.8,20.7,0.4
Ask_WellsFargo,7578,7559,99.7,17.3,24.0,0.3
AzureSupport,7565,7010,92.7,17.5,16.8,0.5
AlaskaAir,7478,7412,99.1,19.2,15.4,3.6
HPSupport,7200,7145,99.2,18.0,23.2,0.3
